Corporate body type,Year,New,New-obsStatus,Closed,Closed-obsStatus,On_reg,On_reg-revised
assurance-companies,2012-2013,,x,,x,927,
incorporated-by-royal-charter,2012-2013,6,,2,,833,
special-acts-of-parliament,2012-2013,,x,,x,45,
newspaper-and-libel-act-1881,2012-2013,14,,21,,567,
european-economic-interest-groupings-principal-establishment-in-uk,2012-2013,15,,2,,257,
european-public-limited-liability-companies-societas-europaea,2012-2013,39,,1,,60,
assurance-companies,2013-2014,,x,,x,927,
incorporated-by-royal-charter,2013-2014,7,,1,,842,
special-acts-of-parliament,2013-2014,,x,,x,46,
newspaper-and-libel-act-1881,2013-2014,15,,19,,598,
european-economic-interest-groupings-principal-establishment-in-uk,2013-2014,11,,2,,266,
european-public-limited-liability-companies-societas-europaea,2013-2014,4,,1,,63,
assurance-companies,2014-2015,,x,,x,927,
incorporated-by-royal-charter,2014-2015,5,,,x,847,
special-acts-of-parliament,2014-2015,,x,,x,46,
newspaper-and-libel-act-1881,2014-2015,7,,11,,595,
european-economic-interest-groupings-principal-establishment-in-uk,2014-2015,14,,2,,278,
european-public-limited-liability-companies-societas-europaea,2014-2015,4,,23,,44,
assurance-companies,2015-2016,,x,,x,927,
incorporated-by-royal-charter,2015-2016,2,,3,,846,
special-acts-of-parliament,2015-2016,,x,,x,46,
newspaper-and-libel-act-1881,2015-2016,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2015-2016,15,,1,,292,
european-public-limited-liability-companies-societas-europaea,2015-2016,15,,6,,53,
assurance-companies,2016-2017,,x,,x,926,
incorporated-by-royal-charter,2016-2017,3,,2,,859,
special-acts-of-parliament,2016-2017,,x,,x,46,
newspaper-and-libel-act-1881,2016-2017,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2016-2017,5,,1,,294,
european-public-limited-liability-companies-societas-europaea,2016-2017,3,,11,,50,
assurance-companies,2017-2018,,x,,x,926,
incorporated-by-royal-charter,2017-2018,2,,2,,859,
special-acts-of-parliament,2017-2018,,x,,x,42,
newspaper-and-libel-act-1881,2017-2018,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2017-2018,10,,1,,303,
european-public-limited-liability-companies-societas-europaea,2017-2018,6,,15,,40,
assurance-companies,2018-2019,,x,,x,926,
incorporated-by-royal-charter,2018-2019,1,,,x,862,
special-acts-of-parliament,2018-2019,,x,2,,39,
newspaper-and-libel-act-1881,2018-2019,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2018-2019,1,,4,,294,
european-public-limited-liability-companies-societas-europaea,2018-2019,22,,14,,47,
assurance-companies,2019-2020,,x,,x,926,
incorporated-by-royal-charter,2019-2020,6,,,x,872,
special-acts-of-parliament,2019-2020,,x,,x,41,
newspaper-and-libel-act-1881,2019-2020,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2019-2020,2,,10,,285,
european-public-limited-liability-companies-societas-europaea,2019-2020,5,,19,,32,
assurance-companies,2020-2021,,x,,x,926,
incorporated-by-royal-charter,2020-2021,,x,,x,878,
special-acts-of-parliament,2020-2021,,x,,x,43,r
newspaper-and-libel-act-1881,2020-2021,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2020-2021,,x,2,,282,
european-public-limited-liability-companies-societas-europaea,2020-2021,4,,,x,28,
assurance-companies,2021-2022,,x,,x,923,
incorporated-by-royal-charter,2021-2022,3,,,x,884,
special-acts-of-parliament,2021-2022,,x,,x,44,
newspaper-and-libel-act-1881,2021-2022,,x,,x,595,
european-economic-interest-groupings-principal-establishment-in-uk,2021-2022,,x,1,,279,
european-public-limited-liability-companies-societas-europaea,2021-2022,,x,,x,22,
